"ts","y"
"1996-01",266.0
"1996-02",145.9
"1996-03",183.1
"1996-04",119.3
"1996-05",180.3
"1996-06",168.5
"1996-07",231.8
"1996-08",224.5
"1996-09",192.8
"1996-10",122.9
"1996-11",336.5
"1996-12",185.9
"1997-01",194.3
"1997-02",149.5
"1997-03",210.1
"1997-04",273.3
"1997-05",191.4
"1997-06",287.0
"1997-07",226.0
"1997-08",303.6
"1997-09",289.9
"1997-10",421.6
"1997-11",264.5
"1997-12",342.3
"1998-01",339.7
"1998-02",440.4
"1998-03",315.9
"1998-04",439.3
"1998-05",401.3
"1998-06",437.4
"1998-07",575.5
"1998-08",407.6
"1998-09",682.0
"1998-10",475.3
"1998-11",581.3
"1998-12",646.9
